@code,コードが示す地域等,@name,eng,areacode,vi,cha,areaCode2
442400,宮城県大衡村,大衡村,Ohira Village,4,làng Ohira,大衡村,040020
444400,宮城県色麻町,色麻町,Shikama Town,4,thị trấn Shikama,色麻町,040020
444500,宮城県加美町,加美町,Kami Town,4,thị trấn Kami,加美町,040020
450100,宮城県涌谷町,涌谷町,Wakuya Town,4,thị trấn Wakuya,涌谷町,040010
450500,宮城県美里町,美里町,Misato Town,4,thị trấn Misato,美里町,040010
458100,宮城県女川町,女川町,Onagawa Town,4,thị trấn Onagawa,女川町,040010
460600,宮城県南三陸町,南三陸町,Minamisanriku Town,4,thị trấn Minamisanriku,南三陆町,040010
520100,秋田県秋田市,秋田市,Akita City,5,thành phố Akita,秋田市,050010
520200,秋田県能代市,能代市,Noshiro City,5,thành phố Noshiro,能代市,050010
520300,秋田県横手市,横手市,Yokote City,5,thành phố Yokote,横手市,050020
520400,秋田県大館市,大館市,Odate City,5,thành phố Odate,大馆市,050020
520600,秋田県男鹿市,男鹿市,Oga City,5,thành phố Oga,男鹿市,050010
520700,秋田県湯沢市,湯沢市,Yuzawa City,5,thành phố Yuzawa,汤泽市,050020
520900,秋田県鹿角市,鹿角市,Kazuno City,5,thành phố Kazuno,鹿角市,050020
521000,秋田県由利本荘市,由利本荘市,Yurihonjo City,5,thành phố Yurihonjo,由利本庄市,050010
521100,秋田県潟上市,潟上市,Katagami City,5,thành phố Katagami,潟上市,050010
521200,秋田県大仙市,大仙市,Daisen City,5,thành phố Daisen,大仙市,050020
521300,秋田県北秋田市,北秋田市,Kitaakita City,5,thành phố Kitaakita,北秋田市,050020
521400,秋田県にかほ市,にかほ市,Nikaho City,5,thành phố Nikaho,仁贺保市,050010
521500,秋田県仙北市,仙北市,Semboku City,5,thành phố Semboku,仙北市,050020
530300,秋田県小坂町,小坂町,Kosaka Town,5,thị trấn Kosaka,小坂町,050020
532700,秋田県上小阿仁村,上小阿仁村,Kamikoani Village,5,làng Kamikoani,上小阿仁村,050020
534600,秋田県藤里町,藤里町,Fujisato Town,5,thị trấn Fujisato,藤里町,050010
534800,秋田県三種町,三種町,Mitane Town,5,thị trấn Mitane,三种町,050010
534900,秋田県八峰町,八峰町,Happou Town,5,thị trấn Happou,八峰町,050010
536100,秋田県五城目町,五城目町,Gojome Town,5,thị trấn Gojome,五城目町,050010
536300,秋田県八郎潟町,八郎潟町,Hachirogata Town,5,thị trấn Hachirogata,八郎泻町,050010
536600,秋田県井川町,井川町,Ikawa Town,5,thị trấn ikawa,井川町,050010
536800,秋田県大潟村,大潟村,Ogata Village,5,làng Ogata,大泻村,050010
543400,秋田県美郷町,美郷町,Misato Town,5,thị trấn Misato,美乡町,050020
546300,秋田県羽後町,羽後町,Ugo Town,5,thị trấn Ugo,羽后町,050020
546400,秋田県東成瀬村,東成瀬村,Higashinaruse Village,5,làng Higashinaruse,东成濑村,050020
620100,山形県山形市,山形市,Yamagata City,6,thành phố Yamagata,山形市,060010
620200,山形県米沢市,米沢市,Yonezawa City,6,thành phố Yonezawa,米泽市,060020
620300,山形県鶴岡市,鶴岡市,Tsuruoka City,6,thành phố Tsuruoka,鹤冈市,060030
620400,山形県酒田市,酒田市,Sakata City,6,thành phố Sakata,酒田市,060030
620500,山形県新庄市,新庄市,Shinjo City,6,thành phố Shinjo,新庄市,060040
620600,山形県寒河江市,寒河江市,Sagae City,6,thành phố Sagae,寒河江市,060010
620700,山形県上山市,上山市,Kaminoyama City,6,thành phố Kaminoyama,上山市,060010
620800,山形県村山市,村山市,Murayama City,6,thành phố Murayama,村山市,060010
620900,山形県長井市,長井市,Nagai City,6,thành phố Nagai,长井市,060020
621000,山形県天童市,天童市,Tendo City,6,thành phố Tendo,天童市,060010
621100,山形県東根市,東根市,Higashine City,6,thành phố Higashine,东根市,060010
621200,山形県尾花沢市,尾花沢市,Obanazawa City,6,thành phố Obanazawa,尾花泽市,060010
621300,山形県南陽市,南陽市,Nanyo City,6,thành phố Nanyo,南阳市,060020
630100,山形県山辺町,山辺町,Yamanobe Town,6,thị trấn Yamanobe,山边町,060010
630200,山形県中山町,中山町,Nakayama Town,6,thị trấn Nakayama,中山町,060010
632100,山形県河北町,河北町,Kahoku Town,6,thị trấn Kahoku,河北町,060010
632200,山形県西川町,西川町,Nishikawa Town,6,thị trấn Nishikawa,西川町,060010
632300,山形県朝日町,朝日町,Asahi Town,6,thị trấn Asahi,朝日町,060010
632400,山形県大江町,大江町,Oe Town,6,thị trấn Oe,大江町,060010
634100,山形県大石田町,大石田町,Oishida Town,6,thị trấn Oishida,大石田町,060010
636100,山形県金山町,金山町,Kaneyama Town,6,thị trấn Kaneyama,金山町,060040
636200,山形県最上町,最上町,Mogami Town,6,thị trấn Mogami,最上町,060040
636300,山形県舟形町,舟形町,Funagata Town,6,thị trấn Funagata,舟形町,060040
636400,山形県真室川町,真室川町,Mamurogawa Town,6,thị trấn Mamurogawa,真室川町,060040
636500,山形県大蔵村,大蔵村,Okura Village,6,làng Okura,大藏村,060040
636600,山形県鮭川村,鮭川村,Sakegawa Village,6,làng Sakegawa,鲑川村,060040
636700,山形県戸沢村,戸沢村,Tozawa Village,6,làng Tozawa,户泽村,060040
638100,山形県高畠町,高畠町,Takahata Town,6,thị trấn Takahata,高畠町,060020
638200,山形県川西町,川西町,Kawanishi Town,6,thị trấn Kawanishi,川西町,060020
640100,山形県小国町,小国町,Oguni Town,6,thị trấn Oguni,小国町,060020
640200,山形県白鷹町,白鷹町,Shirataka Town,6,thị trấn Shirataka,白鹰町,060020
640300,山形県飯豊町,飯豊町,Iide Town,6,thị trấn Iide,饭丰町,060020
642600,山形県三川町,三川町,Mikawa Town,6,thị trấn Mikawa,三川町,060030
642800,山形県庄内町,庄内町,Shonai Town,6,thị trấn Shonai,庄内町,060030
646100,山形県遊佐町,遊佐町,Yuza Town,6,thị trấn Yuza,游佐町,060030
720100,福島県福島市,福島市,Fukushima City,7,thành phố Fukushima,福岛市,070010
720200,福島県会津若松市,会津若松市,Aizuwakamatsu City,7,thành phố Aizuwakamatsu,会津若松市,070030
720300,福島県郡山市,郡山市,Koriyama City,7,thành phố Koriyama,郡山市,070010
720302,気象庁予報警報規程別表第四の二に示す「郡山市湖南」の区域,郡山市湖南,"Konan, Koriyama City",7,"Konan, thành phố Koriyama",郡山市湖南,070030
720400,福島県いわき市,いわき市,Iwaki City,7,thành phố Iwaki,磐城市,070020
720500,福島県白河市,白河市,Shirakawa City,7,thành phố Shirakawa,白河市,070010
720700,福島県須賀川市,須賀川市,Sukagawa City,7,thành phố Sukagawa,须贺川市,070010
720800,福島県喜多方市,喜多方市,Kitakata City,7,thành phố Kitakata,喜多方市,070030
720900,福島県相馬市,相馬市,Soma City,7,thành phố Soma,相马市,070020
721000,福島県二本松市,二本松市,Nihonmatsu City,7,thành phố Nihonmatsu,二本松市,070010
721100,福島県田村市,田村市,Tamura City,7,thành phố Tamura,田村市,070010
721200,福島県南相馬市,南相馬市,Minamisoma City,7,thành phố Minamisoma,南相马市,070020
721300,福島県伊達市,伊達市,Date City,7,thành phố Date,伊达市,070010
721400,福島県本宮市,本宮市,Motomiya City,7,thành phố Motomiya,本宫市,070010
730100,福島県桑折町,桑折町,Koori Town,7,thị trấn Koori,桑折町,070010
730300,福島県国見町,国見町,Kunimi Town,7,thị trấn Kunimi,国见町,070010
730800,福島県川俣町,川俣町,Kawamata Town,7,thị trấn Kawamata,川俣町,070010
732200,福島県大玉村,大玉村,Otama Village,7,làng Otama,大玉村,070010
734200,福島県鏡石町,鏡石町,Kagamiishi Town,7,thị trấn Kagamiishi,镜石町,070010
734400,福島県天栄村,天栄村,Tenei Village,7,làng Tenei,天荣村,070010
734402,気象庁予報警報規程別表第四の二に示す「天栄村湯本」の区域,天栄村湯本,"Yumoto, Tenei Village",7,"Yumoto, làng Tenei",天荣村汤本,070030
736200,福島県下郷町,下郷町,Shimogo Town,7,thị trấn Shimogo,下乡町,070030
736400,福島県檜枝岐村,檜枝岐村,Hinoemata Village,7,làng Hinoemata,桧枝岐村,070030
736700,福島県只見町,只見町,Tadami Town,7,thị trấn Tadami,只见町,070030
736800,福島県南会津町,南会津町,Minamiaizu Town,7,thị trấn Minamiaizu,南会津町,070030
740200,福島県北塩原村,北塩原村,Kitashiobara Village,7,làng Kitashiobara,北盐原村,070030
740500,福島県西会津町,西会津町,Nishiaizu Town,7,thị trấn Nishiaizu,西会津町,070030
740700,福島県磐梯町,磐梯町,Bandai Town,7,thị trấn Bandai,磐梯町,070030
740800,福島県猪苗代町,猪苗代町,Inawashiro Town,7,thị trấn Inawashiro,猪苗代町,070030
742100,福島県会津坂下町,会津坂下町,Aizubange Town,7,thị trấn Aizubange,会津坂下町,070030
742200,福島県湯川村,湯川村,Yugawa Village,7,làng Yugawa,汤川村,070030
742300,福島県柳津町,柳津町,Yanaizu Town,7,thị trấn Yanaizu,柳津町,070030
744400,福島県三島町,三島町,Mishima Town,7,thị trấn Mishima,三岛町,070030
744500,福島県金山町,金山町,Kaneyama Town,7,thị trấn Kaneyama,金山町,070030
744600,福島県昭和村,昭和村,Showa Village,7,làng Showa,昭和村,070030
744700,福島県会津美里町,会津美里町,Aizumisato Town,7,thị trấn Aizumisato,会津美里町,070030
746100,福島県西郷村,西郷村,Nishigo Village,7,làng Nishigo,西乡村,070010
746400,福島県泉崎村,泉崎村,Izumizaki Village,7,làng Izumizaki,泉崎村,070010
746500,福島県中島村,中島村,Nakajima Village,7,làng Nakajima,中岛村,070010
746600,福島県矢吹町,矢吹町,Yabuki Town,7,thị trấn Yabuki,矢吹町,070010
748100,福島県棚倉町,棚倉町,Tanagura Town,7,thị trấn Tanagura,棚仓町,070010
748200,福島県矢祭町,矢祭町,Yamatsuri Town,7,thị trấn Yamatsuri,矢祭町,070010
748300,福島県塙町,塙町,Hanawa Town,7,thị trấn Hanawa,塙町,070010
748400,福島県鮫川村,鮫川村,Samegawa Village,7,làng Samegawa,鲛川村,070010
750100,福島県石川町,石川町,Ishikawa Town,7,thị trấn Ishikawa,石川町,070010
750200,福島県玉川村,玉川村,Tamakawa Village,7,làng Tamakawa,玉川村,070010
750300,福島県平田村,平田村,Hirata Village,7,làng Hirata,平田村,070010
750400,福島県浅川町,浅川町,Asakawa Town,7,thị trấn Asakawa,浅川町,070010
750500,福島県古殿町,古殿町,Furudono Town,7,thị trấn Furudono,古殿町,070010
752100,福島県三春町,三春町,Miharu Town,7,thị trấn Miharu,三春町,070010
752200,福島県小野町,小野町,Ono Town,7,thị trấn Ono,小野町,070010
754100,福島県広野町,広野町,Hirono Town,7,thị trấn Hirono,广野町,070020
754200,福島県楢葉町,楢葉町,Naraha Town,7,thị trấn Naraha,楢叶町,070020
754300,福島県富岡町,富岡町,Tomioka Town,7,thị trấn Tomioka,富冈町,070020
754400,福島県川内村,川内村,Kawauchi Village,7,làng Kawauchi,川内村,070020
754500,福島県大熊町,大熊町,Okuma Town,7,thị trấn Okuma,大熊町,070020
754600,福島県双葉町,双葉町,Futaba Town,7,thị trấn Futaba,双叶町,070020
754700,福島県浪江町,浪江町,Namie Town,7,thị trấn Namie,浪江町,070020
754800,福島県葛尾村,葛尾村,Katsurao Village,7,làng Katsurao,葛尾村,070020
756100,福島県新地町,新地町,Shinchi Town,7,thị trấn Shinchi,新地町,070020
756400,福島県飯舘村,飯舘村,Iitate Village,7,làng Iitate,饭馆村,070020
820100,茨城県水戸市,水戸市,Mito City,8,thành phố Mito,水户市,080010
820200,茨城県日立市,日立市,Hitachi City,8,thành phố Hitachi,日立市,080010
820300,茨城県土浦市,土浦市,Tsuchiura City,8,thành phố Tsuchiura,土浦市,080020
820400,茨城県古河市,古河市,Koga City,8,thành phố Koga,古河市,080020
820500,茨城県石岡市,石岡市,Ishioka City,8,thành phố Ishioka,石冈市,080020
820700,茨城県結城市,結城市,Yuki City,8,thành phố Yuki,结城市,080020
820800,茨城県龍ケ崎市,龍ケ崎市,Ryugasaki City,8,thành phố Ryugasaki,龙崎市,080020
821000,茨城県下妻市,下妻市,Shimotsuma City,8,thành phố Shimotsuma,下妻市,080020
821100,茨城県常総市,常総市,Joso City,8,thành phố Joso,常总市,080020
821200,茨城県常陸太田市,常陸太田市,Hitachiota City,8,thành phố Hitachiota,常陆太田市,080010
821400,茨城県高萩市,高萩市,Takahagi City,8,thành phố Takahagi,高荻市,080010
821500,茨城県北茨城市,北茨城市,Kitaibaraki City,8,thành phố Kitaibaraki,北茨城市,080010
821600,茨城県笠間市,笠間市,Kasama City,8,thành phố Kasama,笠间市,080010
821700,茨城県取手市,取手市,Toride City,8,thành phố Toride,取手市,080020
821900,茨城県牛久市,牛久市,Ushiku City,8,thành phố Ushiku,牛久市,080020
822000,茨城県つくば市,つくば市,Tsukuba City,8,thành phố Tsukuba,筑波市,080020
822100,茨城県ひたちなか市,ひたちなか市,Hitachinaka City,8,thành phố Hitachinaka,常陆那珂市,080010
822200,茨城県鹿嶋市,鹿嶋市,Kashima City,8,thành phố Kashima,鹿嶋市,080020
822300,茨城県潮来市,潮来市,Itako City,8,thành phố Itako,潮来市,080020
822400,茨城県守谷市,守谷市,Moriya City,8,thành phố Moriya,守谷市,080020
822500,茨城県常陸大宮市,常陸大宮市,Hitachiomiya City,8,thành phố Hitachiomiya,常陆大宫市,080010
822600,茨城県那珂市,那珂市,Naka City,8,thành phố Naka,那珂市,080010
822700,茨城県筑西市,筑西市,Chikusei City,8,thành phố Chikusei,筑西市,080020
822800,茨城県坂東市,坂東市,Bando City,8,thành phố Bando,坂东市,080020
822900,茨城県稲敷市,稲敷市,Inashiki City,8,thành phố Inashiki,稻敷市,080020
823000,茨城県かすみがうら市,かすみがうら市,Kasumigaura City,8,thành phố Kasumigaura,霞浦市,080020
823100,茨城県桜川市,桜川市,Sakuragawa City,8,thành phố Sakuragawa,樱川市,080020
823200,茨城県神栖市,神栖市,Kamisu City,8,thành phố Kamisu,神栖市,080020
823300,茨城県行方市,行方市,Namegata City,8,thành phố Namegata,行方市,080020
823400,茨城県鉾田市,鉾田市,Hokota City,8,thành phố Hokota,鉾田市,080020
823500,茨城県つくばみらい市,つくばみらい市,Tsukubamirai City,8,thành phố Tsukubamirai,筑波未来市,080020
823600,茨城県小美玉市,小美玉市,Omitama City,8,thành phố Omitama,小美玉市,080010
830200,茨城県茨城町,茨城町,Ibaraki Town,8,thị trấn Ibaraki,茨城町,080010
830900,茨城県大洗町,大洗町,Oarai Town,8,thị trấn Oarai,大洗町,080010
831000,茨城県城里町,城里町,Shirosato Town,8,thị trấn Shirosato,城里町,080010
834100,茨城県東海村,東海村,Tokai Village,8,làng Tokai,东海村,080010
836400,茨城県大子町,大子町,Daigo Town,8,thị trấn Daigo,大子町,080010
844200,茨城県美浦村,美浦村,Miho Village,8,làng Miho,美浦村,080020
844300,茨城県阿見町,阿見町,Ami Town,8,thị trấn Ami,阿见町,080020
844700,茨城県河内町,河内町,Kawachi Town,8,thị trấn Kawachi,河内町,080020
852100,茨城県八千代町,八千代町,Yachiyo Town,8,thị trấn Yachiyo,八千代町,080020
854200,茨城県五霞町,五霞町,Goka Town,8,thị trấn Goka,五霞町,080020
854600,茨城県境町,境町,Sakai Town,8,thị trấn Sakai,境町,080020
856400,茨城県利根町,利根町,Tone Town,8,thị trấn Tone,利根町,080020
920100,栃木県宇都宮市,宇都宮市,Utsunomiya City,9,thành phố Utsunomiya,宇都宫市,090010
920200,栃木県足利市,足利市,Ashikaga City,9,thành phố Ashikaga,足利市,090010
920300,栃木県栃木市,栃木市,Tochigi City,9,thành phố Tochigi,栃木市,090010
920400,栃木県佐野市,佐野市,Sano City,9,thành phố Sano,佐野市,090010
920500,栃木県鹿沼市,鹿沼市,Kanuma City,9,thành phố Kanuma,鹿沼市,090010
920600,栃木県日光市,日光市,Nikko City,9,thành phố Nikko,日光市,090020
920800,栃木県小山市,小山市,Oyama City,9,thành phố Oyama,小山市,090010
920900,栃木県真岡市,真岡市,Moka City,9,thành phố Moka,真冈市,090010
921000,栃木県大田原市,大田原市,Ohtawara City,9,thành phố Ohtawara,大田原市,090020
921100,栃木県矢板市,矢板市,Yaita City,9,thành phố Yaita,矢板市,090020
921300,栃木県那須塩原市,那須塩原市,Nasushiobara City,9,thành phố Nasushiobara,那须盐原市,090020
921400,栃木県さくら市,さくら市,Sakura City,9,thành phố Sakura,樱市,090010
921500,栃木県那須烏山市,那須烏山市,Nasukarasuyama City,9,thành phố Nasukarauyama,那须乌山市,090010
921600,栃木県下野市,下野市,Shimotsuke City,9,thành phố Shimotsuke,下野市,090010
930100,栃木県上三川町,上三川町,Kaminokawa Town,9,thị trấn Kaminokawa,上三川町,090010
934200,栃木県益子町,益子町,Mashiko Town,9,thị trấn Mashiko,益子町,090010
934300,栃木県茂木町,茂木町,Motegi Town,9,thị trấn Motegi,茂木町,090010
934400,栃木県市貝町,市貝町,Ichikai Town,9,thị trấn Ichikai,市贝町,090010
934500,栃木県芳賀町,芳賀町,Haga Town,9,thị trấn Haga,芳贺町,090010
936100,栃木県壬生町,壬生町,Mibu Town,9,thị trấn Mibu,壬生町,090010
936400,栃木県野木町,野木町,Nogi Town,9,thị trấn Nogi,野木町,090010
938400,栃木県塩谷町,塩谷町,Shioya Town,9,thị trấn Shioya,盐谷町,090020
938600,栃木県高根沢町,高根沢町,Takanezawa Town,9,thị trấn Takanezawa,高根泽町,090010
940700,栃木県那須町,那須町,Nasu Town,9,thị trấn Nasu,那须町,090020
941100,栃木県那珂川町,那珂川町,Nakagawa Town,9,thị trấn Nakagawa,那珂川町,090010
1020100,群馬県前橋市,前橋市,Maebashi City,10,thành phố Maebashi,前桥市,100010
1020200,群馬県高崎市,高崎市,Takasaki City,10,thành phố Takasaki,高崎市,100010
1020300,群馬県桐生市,桐生市,Kiryu City,10,thành phố Kiryu,桐生市,100010
1020400,群馬県伊勢崎市,伊勢崎市,Isesaki City,10,thành phố Isesaki,伊势崎市,100010
1020500,群馬県太田市,太田市,Ota City,10,thành phố Ota,太田市,100010
1020600,群馬県沼田市,沼田市,Numata City,10,thành phố Numata,沼田市,100020
1020700,群馬県館林市,館林市,Tatebayashi City,10,thành phố Tatebayashi,馆林市,100010
1020800,群馬県渋川市,渋川市,Shibukawa City,10,thành phố Shibukawa,涩川市,100010
1020900,群馬県藤岡市,藤岡市,Fujioka City,10,thành phố Fujioka,藤冈市,100010
1021000,群馬県富岡市,富岡市,Tomioka City,10,thành phố Tomioka,富冈市,100010
1021100,群馬県安中市,安中市,Annaka City,10,thành phố Annaka,安中市,100010
1021200,群馬県みどり市,みどり市,Midori City,10,thành phố Midori,绿市,100010
1034400,群馬県榛東村,榛東村,Shinto Village,10,làng Shinto,榛东村,100010
1034500,群馬県吉岡町,吉岡町,Yoshioka Town,10,thị trấn Yoshioka,吉冈町,100010
1036600,群馬県上野村,上野村,Ueno Village,10,làng Ueno,上野村,100010
1036700,群馬県神流町,神流町,Kanna Town,10,thị trấn Kanna,神流町,100010
1038200,群馬県下仁田町,下仁田町,Shimonita Town,10,thị trấn Shimonita,下仁田町,100010
1038300,群馬県南牧村,南牧村,Nammoku Village,10,làng Nammoku,南牧村,100010
1038400,群馬県甘楽町,甘楽町,Kanra Town,10,thị trấn Kanra,甘乐町,100010
1042100,群馬県中之条町,中之条町,Nakanojo Town,10,thị trấn Nakanojo,中之条町,100020
1042400,群馬県長野原町,長野原町,Naganohara Town,10,thị trấn Naganohara,长野原町,100020
1042500,群馬県嬬恋村,嬬恋村,Tsumagoi Village,10,làng Tsumagoi,嬬恋村,100020
1042600,群馬県草津町,草津町,Kusatsu Town,10,thị trấn Kusatsu,草津町,100020
1042800,群馬県高山村,高山村,Takayama Village,10,làng Takayama,高山村,100020
1042900,群馬県東吾妻町,東吾妻町,Higashiagatsuma Town,10,thị trấn Higashiagatsuma,东吾妻町,100020
1044300,群馬県片品村,片品村,Katashina Village,10,làng Katashina,片品村,100020
1044400,群馬県川場村,川場村,Kawaba Village,10,làng Kawaba,川场村,100020
1044800,群馬県昭和村,昭和村,Showa Village,10,làng Showa,昭和村,100020
1044900,群馬県みなかみ町,みなかみ町,Minakami Town,10,thị trấn Minakami,水上町,100020
1046400,群馬県玉村町,玉村町,Tamamura Town,10,thị trấn Tamamura,玉村町,100010
1052100,群馬県板倉町,板倉町,Itakura Town,10,thị trấn Itakura,板仓町,100010
1052200,群馬県明和町,明和町,Meiwa Town,10,thị trấn Meiwa,明和町,100010
1052300,群馬県千代田町,千代田町,Chiyoda Town,10,thị trấn Chiyoda ,千代田町,100010
1052400,群馬県大泉町,大泉町,Oizumi Town,10,thị trấn Oizumi,大泉町,100010
1052500,群馬県邑楽町,邑楽町,Ora Town,10,thị trấn Ora,邑乐町,100010
1110000,埼玉県さいたま市,さいたま市,Saitama City,11,thành phố Saitama,埼玉市,110010
1120100,埼玉県川越市,川越市,Kawagoe City,11,thành phố Kawagoe,川越市,110010
1120200,埼玉県熊谷市,熊谷市,Kumagaya City,11,thành phố Kumagaya,熊谷市,110020
1120300,埼玉県川口市,川口市,Kawaguchi City,11,thành phố Kawaguchi,川口市,110010
1120600,埼玉県行田市,行田市,Gyoda City,11,thành phố Gyoda,行田市,110020
1120700,埼玉県秩父市,秩父市,Chichibu City,11,thành phố Chichibu,秩父市,110030
1120800,埼玉県所沢市,所沢市,Tokorozawa City,11,thành phố Tokorozawa,所泽市,110010
1120900,埼玉県飯能市,飯能市,Hanno City,11,thành phố Hanno,饭能市,110010
1121000,埼玉県加須市,加須市,Kazo City,11,thành phố Kazo,加须市,110020
1121100,埼玉県本庄市,本庄市,Honjo City,11,thành phố Honjo,本庄市,110020
1121200,埼玉県東松山市,東松山市,Higashimatsuyama City,11,thành phố Higashimatsuyama,东松山市,110020
1121400,埼玉県春日部市,春日部市,Kasukabe City,11,thành phố Kasukabe,春日部市,110010
1121500,埼玉県狭山市,狭山市,Sayama City,11,thành phố Sayama,狭山市,110010
1121600,埼玉県羽生市,羽生市,Hanyu City,11,thành phố Hanyu,羽生市,110020
1121700,埼玉県鴻巣市,鴻巣市,Kounosu City,11,thành phố Kounosu,鸿巢市,110020
1121800,埼玉県深谷市,深谷市,Fukaya City,11,thành phố Fukaya,深谷市,110020
1121900,埼玉県上尾市,上尾市,Ageo City,11,thành phố Ageo,上尾市,110010
1122100,埼玉県草加市,草加市,Soka City,11,thành phố Soka,草加市,110010
1122200,埼玉県越谷市,越谷市,Koshigaya City,11,thành phố Koshigaya,越谷市,110010
1122300,埼玉県蕨市,蕨市,Warabi City,11,thành phố Warabi,蕨市,110010
1122400,埼玉県戸田市,戸田市,Toda City,11,thành phố Toda,户田市,110010
1122500,埼玉県入間市,入間市,Iruma City,11,thành phố Iruma,入间市,110010
1122700,埼玉県朝霞市,朝霞市,Asaka City,11,thành phố Asaka,朝霞市,110010
1122800,埼玉県志木市,志木市,Shiki City,11,thành phố Shiki,志木市,110010
1122900,埼玉県和光市,和光市,Wako City,11,thành phố Wako,和光市,110010
1123000,埼玉県新座市,新座市,Niiza City,11,thành phố Niiza,新座市,110010
1123100,埼玉県桶川市,桶川市,Okegawa City,11,thành phố Okegawa,桶川市,110010
1123200,埼玉県久喜市,久喜市,Kuki City,11,thành phố Kuki,久喜市,110020
1123300,埼玉県北本市,北本市,Kitamoto City,11,thành phố Kitamoto,北本市,110010
1123400,埼玉県八潮市,八潮市,Yashio City,11,thành phố Yashio,八潮市,110010
1123500,埼玉県富士見市,富士見市,Fujimi City,11,thành phố Fujimi,富士见市,110010
1123700,埼玉県三郷市,三郷市,Misato City,11,thành phố Misato,三乡市,110010
1123800,埼玉県蓮田市,蓮田市,Hasuda City,11,thành phố Hasuda,莲田市,110010
1123900,埼玉県坂戸市,坂戸市,Sakado City,11,thành phố Sakado,坂户市,110010
1124000,埼玉県幸手市,幸手市,Satte City,11,thành phố Satte,幸手市,110010
1124100,埼玉県鶴ヶ島市,鶴ヶ島市,Tsurugashima City,11,thành phố Tsurugashima,鹤岛市,110010
1124200,埼玉県日高市,日高市,Hidaka City,11,thành phố Hidaka,日高市,110010
1124300,埼玉県吉川市,吉川市,Yoshikawa City,11,thành phố Yoshikawa,吉川市,110010
1124500,埼玉県ふじみ野市,ふじみ野市,Fujimino City,11,thành phố Fujimino,富士见野市,110010
1124600,埼玉県白岡市,白岡市,Shiraoka City,11,thành phố Shiraoka,白冈市,110010
1130100,埼玉県伊奈町,伊奈町,Ina Town,11,thị trấn Ina,伊奈町,110010
1132400,埼玉県三芳町,三芳町,Miyoshi Town,11,thị trấn Miyoshi,三芳町,110010
1132600,埼玉県毛呂山町,毛呂山町,Moroyama Town,11,thị trấn Moroyama,毛吕山町,110010
1132700,埼玉県越生町,越生町,Ogose Town,11,thị trấn Ogose,越生町,110010
1134100,埼玉県滑川町,滑川町,Namegawa Town,11,thị trấn Namegawa,滑川町,110020
1134200,埼玉県嵐山町,嵐山町,Ranzan Town,11,thị trấn Ranzan,岚山町,110020
1134300,埼玉県小川町,小川町,Ogawa Town,11,thị trấn Ogawa,小川町,110020
1134600,埼玉県川島町,川島町,Kawajima Town,11,thị trấn Kawajima,川岛町,110010
1134700,埼玉県吉見町,吉見町,Yoshimi Town,11,thị trấn Yoshimi,吉见町,110020
1134800,埼玉県鳩山町,鳩山町,Hatoyama Town,11,thị trấn Hatoyama,鸠山町,110020
1134900,埼玉県ときがわ町,ときがわ町,Tokigawa Town,11,thị trấn Tokigawa,都几川町,110020
1136100,埼玉県横瀬町,横瀬町,Yokoze Town,11,thị trấn Yokoze,横濑町,110030
1136200,埼玉県皆野町,皆野町,Minano Town,11,thị trấn Minano,皆野町,110030
1136300,埼玉県長瀞町,長瀞町,Nagatoro Town,11,thị trấn Nagatoro,长瀞町,110030
1136500,埼玉県小鹿野町,小鹿野町,Ogano Town,11,thị trấn Ogano,小鹿野町,110030
1136900,埼玉県東秩父村,東秩父村,Higashichichibu Village,11,làng Higashichichibu,东秩父村,110020
1138100,埼玉県美里町,美里町,Misato Town,11,thị trấn Misato,美里町,110020
1138300,埼玉県神川町,神川町,Kamikawa Town,11,thị trấn Kamikawa,神川町,110020
1138500,埼玉県上里町,上里町,Kamisato Town,11,thị trấn Kamisato,山里町,110020
1140800,埼玉県寄居町,寄居町,Yorii Town,11,thị trấn Yorii,寄居町,110020
1144200,埼玉県宮代町,宮代町,Miyashiro Town,11,thị trấn Miyashiro,宫代町,110010
1146400,埼玉県杉戸町,杉戸町,Sugito Town,11,thị trấn Sugito,杉户町,110010
1146500,埼玉県松伏町,松伏町,Matsubushi Town,11,thị trấn Matsubushi,松伏町,110010
1210000,千葉県千葉市,千葉市,Chiba City,12,thành phố Chiba,千叶市,120010
1220200,千葉県銚子市,銚子市,Choshi City,12,thành phố Choshi,铫子市,120020
1220300,千葉県市川市,市川市,Ichikawa City,12,thành phố Ichikawa,市川市,120010
1220400,千葉県船橋市,船橋市,Funabashi City,12,thành phố Funabashi,船桥市,120010
1220500,千葉県館山市,館山市,Tateyama City,12,thành phố Tateyama,馆山市,120030
1220600,千葉県木更津市,木更津市,Kisarazu City,12,thành phố Kisarazu,木更津市,120030
1220700,千葉県松戸市,松戸市,Matsudo City,12,thành phố Matsudo,松户市,120010
1220800,千葉県野田市,野田市,Noda City,12,thành phố Noda,野田市,120010
1221000,千葉県茂原市,茂原市,Mobara City,12,thành phố Mobara,茂原市,120020
1221100,千葉県成田市,成田市,Narita City,12,thành phố Narita,成田市,120010
1221200,千葉県佐倉市,佐倉市,Sakura City,12,thành phố Sakura,佐仓市,120010
1221300,千葉県東金市,東金市,Togane City,12,thành phố Togane,东金市,120020
1221500,千葉県旭市,旭市,Asahi City,12,thành phố Asahi,旭市,120020
1221600,千葉県習志野市,習志野市,Narashino City,12,thành phố Narashino,习志野市,120010
